source,n_steps,min_v2v_m,contact_dens_5mm,contact_dens_10mm,contact_dens_20mm
chi3d,-1,0.006243511568754911,0.0,5.462968601932516e-06,3.824077793979086e-05
chi3d,-1,0.0023920799139887094,9.104947480409464e-07,4.552473910734989e-06,6.555562140420079e-05
chi3d,-1,0.002367031294852495,1.4567915968655143e-05,9.924393089022487e-05,0.0006947075016796589
chi3d,-1,0.0050152926705777645,0.0,4.552473910734989e-06,2.6404348318465054e-05
chi3d,-1,0.006569152232259512,0.0,2.731484300966258e-06,1.6388905351050198e-05
chi3d,-1,0.009160968475043774,0.0,2.731484300966258e-06,2.003088411584031e-05
chi3d,-1,0.03391534090042114,0.0,0.0,0.0
chi3d,-1,0.039964932948350906,0.0,0.0,0.0
chi3d,-1,0.03321658447384834,0.0,0.0,0.0
chi3d,-1,0.02301405742764473,0.0,0.0,0.0
chi3d,-1,0.01032775454223156,0.0,0.0,9.104947480409464e-07
chi3d,-1,0.03602377325296402,0.0,0.0,0.0
chi3d,-1,0.02370208129286766,0.0,0.0,0.0
chi3d,-1,0.020441219210624695,0.0,0.0,0.0
chi3d,-1,0.050954669713974,0.0,0.0,0.0
chi3d,-1,0.0868876576423645,0.0,0.0,0.0
chi3d,-1,0.02315477840602398,0.0,0.0,0.0
chi3d,-1,0.02089792490005493,0.0,0.0,0.0
chi3d,-1,0.04394463449716568,0.0,0.0,0.0
chi3d,-1,0.06709738075733185,0.0,0.0,0.0
chi3d,-1,0.03374399617314339,0.0,0.0,0.0
chi3d,-1,0.003966815769672394,9.104947480409464e-07,3.824077793979086e-05,0.0002940898120868951
chi3d,-1,0.0038756122812628746,1.8209894960818929e-06,2.003088411584031e-05,0.0001338427246082574
chi3d,-1,0.01071440801024437,0.0,0.0,1.547841020510532e-05
chi3d,-1,0.0034698902163654566,9.104947480409464e-07,1.8209894960818929e-06,1.8209895642939955e-05
chi3d,-1,0.007234146818518639,0.0,1.8209894960818929e-06,1.8209895642939955e-05
chi3d,-1,0.006000100634992123,0.0,2.731484300966258e-06,1.8209895642939955e-05
chi3d,-1,0.007008154410868883,0.0,2.731484300966258e-06,9.104947821469977e-06
chi3d,-1,0.006922581698745489,0.0,2.731484300966258e-06,1.4567915968655143e-05
chi3d,-1,0.007704948075115681,0.0,2.731484300966258e-06,1.3657420822710264e-05
chi3d,-1,0.00967979896813631,0.0,9.104947480409464e-07,7.2839579843275715e-06
chi3d,-1,0.0023920799139887094,9.104947480409464e-07,1.8209894960818929e-06,6.373463293130044e-06
chi3d,-1,0.0009134905994869769,9.104947480409464e-07,1.8209894960818929e-06,1.7299400496995077e-05
chi3d,-1,0.015930993482470512,0.0,0.0,1.8209894960818929e-06
chi3d,-1,0.0050390055403113365,0.0,4.552473910734989e-06,3.824077793979086e-05
chi3d,-1,0.01609107106924057,0.0,0.0,9.104947480409464e-07
chi3d,-1,0.012624691240489483,0.0,0.0,1.183643144031521e-05
chi3d,-1,0.0171976238489151,0.0,0.0,9.104947480409464e-07
chi3d,-1,0.004870590288192034,1.8209894960818929e-06,4.552473910734989e-06,5.3719191782874987e-05
chi3d,-1,0.011064715683460236,0.0,0.0,4.552473910734989e-06
chi3d,-1,0.006440871860831976,0.0,3.6419789921637857e-06,2.1851874407730065e-05
chi3d,-1,0.00888349860906601,0.0,9.104947480409464e-07,1.8209895642939955e-05
chi3d,-1,0.010546197183430195,0.0,0.0,1.3657420822710264e-05
chi3d,-1,0.004895004443824291,9.104947480409464e-07,2.731484300966258e-06,4.643523061531596e-05
chi3d,-1,0.004435034468770027,9.104947480409464e-07,4.552473910734989e-06,2.0941379261785187e-05
chi3d,-1,0.00674818130210042,0.0,2.731484300966258e-06,2.4583358026575297e-05
chi3d,-1,0.0009455526014789939,1.8209894960818929e-06,1.183643144031521e-05,0.00010379640298197046
chi3d,-1,0.006454738322645426,0.0,9.104947480409464e-07,1.4567915968655143e-05
chi3d,-1,0.005056717433035374,0.0,3.6419789921637857e-06,1.4567915968655143e-05
chi3d,-1,0.006309984251856804,0.0,1.8209894960818929e-06,4.461424396140501e-05
chi3d,-1,0.0041215680539608,1.8209894960818929e-06,1.4567915968655143e-05,0.00014476866635959595
chi3d,-1,0.00477792602032423,9.104947480409464e-07,1.912038896989543e-05,0.0001465896493755281
chi3d,-1,0.008638577535748482,0.0,1.8209894960818929e-06,3.2777810702100396e-05
