model,anchor_idx,direction,mag_cm,anchor_min_v2v_m,denoised_min_v2v_m,a_correction_m,b_motion_from_anchor_m,b_motion_from_perturbed_m,pullback_m,recovery_0.5cm,recovery_1cm,recovery_2cm,recovery_5cm
uncond,0,0,0,0.0062339575961232185,0.014888575300574303,0.055476412177085876,0.05208568274974823,0.05208568274974823,,False,False,True,True
uncond,1,0,0,0.008382951840758324,0.006596316583454609,0.06904318183660507,0.06982864439487457,0.06982864439487457,,False,True,True,True
uncond,2,0,0,0.0025371836964040995,0.00777617609128356,0.14682863652706146,0.12392006069421768,0.12392006069421768,,False,True,True,True
uncond,3,0,0,0.00877548847347498,0.005516173783689737,0.19485563039779663,0.19534289836883545,0.19534289836883545,,False,True,True,True
uncond,4,0,0,0.0107227498665452,0.014232581481337547,0.030835380777716637,0.10025166720151901,0.10025166720151901,,False,False,True,True
uncond,5,0,0,0.009180466644465923,0.0142712676897645,0.053020305931568146,0.05542118102312088,0.05542118102312088,,False,False,True,True
uncond,6,0,0,0.06171399727463722,0.041253264993429184,0.0619443915784359,0.06020154058933258,0.06020154058933258,,False,False,False,True
uncond,7,0,0,0.039964932948350906,0.07055030763149261,0.11731593310832977,0.036112528294324875,0.036112528294324875,,False,False,False,False
uncond,8,0,0,0.03321658447384834,0.03153574839234352,0.0768255665898323,0.06205011159181595,0.06205011159181595,,False,False,False,True
uncond,9,0,0,0.02545144036412239,0.00128464144654572,0.04456661269068718,0.0627090334892273,0.0627090334892273,,True,True,True,True
uncond,10,0,0,0.01032631192356348,0.20559178292751312,0.08112362772226334,0.03897789120674133,0.03897789120674133,,False,False,False,False
uncond,11,0,0,0.06558295339345932,0.04771934449672699,0.04832606762647629,0.1407240480184555,0.1407240480184555,,False,False,False,True
uncond,12,0,0,0.048644062131643295,0.01934419758617878,0.06215891242027283,0.05085804685950279,0.05085804685950279,,False,False,True,True
uncond,13,0,0,0.03150927647948265,0.06382491439580917,0.07496177405118942,0.10406316071748734,0.10406316071748734,,False,False,False,False
uncond,14,0,0,0.0799499973654747,0.024988362565636635,0.11798154562711716,0.06263523548841476,0.06263523548841476,,False,False,False,True
uncond,15,0,0,0.09363791346549988,0.02474898472428322,0.05051785707473755,0.05939990282058716,0.05939990282058716,,False,False,False,True
uncond,16,0,0,0.07055621594190598,0.1382737159729004,0.03855517879128456,0.10613619536161423,0.10613619536161423,,False,False,False,False
uncond,17,0,0,0.04135427996516228,0.04979601129889488,0.07059760391712189,0.06122920289635658,0.06122920289635658,,False,False,False,True
uncond,18,0,0,0.05934927612543106,0.14392872154712677,0.08423757553100586,0.1382615864276886,0.1382615864276886,,False,False,False,False
uncond,19,0,0,0.06964942812919617,0.02982315421104431,0.07318956404924393,0.08261682838201523,0.08261682838201523,,False,False,False,True
uncond,20,0,0,0.09216106683015823,0.13669902086257935,0.047636259347200394,0.10152360051870346,0.10152360051870346,,False,False,False,False
uncond,21,0,0,0.005556546151638031,0.0069053396582603455,0.03092212602496147,0.04907851666212082,0.04907851666212082,,False,True,True,True
uncond,22,0,0,0.006345308385789394,0.05011391639709473,0.03229569271206856,0.09648111462593079,0.09648111462593079,,False,False,False,False
uncond,23,0,0,0.020028460770845413,0.07235588133335114,0.07725334912538528,0.04181711748242378,0.04181711748242378,,False,False,False,False
uncond,24,0,0,0.010358009487390518,0.010236452333629131,0.031440217047929764,0.06391693651676178,0.06391693651676178,,False,False,True,True
uncond,25,0,0,0.016506144776940346,0.059063870459795,0.0421927273273468,0.15444034337997437,0.15444034337997437,,False,False,False,False
uncond,26,0,0,0.015837183222174644,0.015033988282084465,0.038292091339826584,0.10137424618005753,0.10137424618005753,,False,False,True,True
uncond,27,0,0,0.014585231430828571,0.03983983024954796,0.04999309405684471,0.06709893047809601,0.06709893047809601,,False,False,False,True
uncond,28,0,0,0.011518677696585655,0.07715345919132233,0.11365720629692078,0.1377345323562622,0.1377345323562622,,False,False,False,False
uncond,29,0,0,0.023618634790182114,0.03727364540100098,0.034831829369068146,0.07170911878347397,0.07170911878347397,,False,False,False,True
uncond,30,0,0,0.009685954079031944,0.004560923203825951,0.05071942135691643,0.06623809784650803,0.06623809784650803,,True,True,True,True
uncond,31,0,0,0.002429168438538909,0.09595472365617752,0.050500448793172836,0.0424276702105999,0.0424276702105999,,False,False,False,False
uncond,32,0,0,0.02198350429534912,0.028464116156101227,0.08490682393312454,0.2082129865884781,0.2082129865884781,,False,False,False,True
uncond,33,0,0,0.0291561558842659,0.01656472124159336,0.061477020382881165,0.055321503430604935,0.055321503430604935,,False,False,True,True
uncond,34,0,0,0.009911026805639267,0.011272847652435303,0.05018393695354462,0.055130694061517715,0.055130694061517715,,False,False,True,True
uncond,35,0,0,0.016092922538518906,0.022330528125166893,0.047864191234111786,0.05168820545077324,0.05168820545077324,,False,False,False,True
uncond,36,0,0,0.013491945341229439,0.01808619126677513,0.03798553720116615,0.05969078093767166,0.05969078093767166,,False,False,True,True
uncond,37,0,0,0.0171976238489151,0.014755872078239918,0.054158881306648254,0.058104727417230606,0.058104727417230606,,False,False,True,True
uncond,38,0,0,0.012182592414319515,0.002013235120102763,0.04186026006937027,0.0493093803524971,0.0493093803524971,,True,True,True,True
